127.0.0.1 - - [27/Jul/2018:09:56:15 +0900] "GET /images/qa/ico_snb_00050305_on.png HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:16 +0900] "GET /css/common.css?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:16 +0900] "GET /css/qa.css?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:16 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:17 +0900] "GET /js/common.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:17 +0900] "GET /qa/flaw/flawList?pid=QA2018072402 HTTP/1.1" 200 28588
127.0.0.1 - - [27/Jul/2018:09:56:17 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:09:56:17 +0900] "POST /qa/flaw/getFlawList HTTP/1.1" 200 580
127.0.0.1 - - [27/Jul/2018:09:56:19 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30591
127.0.0.1 - - [27/Jul/2018:09:56:19 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:56:19 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:09:56:19 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:09:56:31 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:56:31 +0900] "GET /css/common.css HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:09:56:35 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:56:35 +0900] "GET /images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [27/Jul/2018:09:56:43 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:56:45 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30591
127.0.0.1 - - [27/Jul/2018:09:56:46 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:56:46 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:09:56:46 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:09:58:37 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:09:58:46 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 500 708
127.0.0.1 - - [27/Jul/2018:09:59:28 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:09:59:51 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:09:59:51 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:09:59:51 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:09:59:51 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:09:59:51 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:00:41 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30594
127.0.0.1 - - [27/Jul/2018:10:00:41 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:10:00:41 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:00:41 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:04:51 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:10:04:52 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30594
127.0.0.1 - - [27/Jul/2018:10:04:52 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:04:52 +0900] "GET /qa/project/selectProjectBmtModelDetailList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:10:04:52 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:05:26 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/jquery.form.min.js HTTP/1.1" 200 15248
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /css/qa.css?ver=201807131 HTTP/1.1" 200 23584
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /css/common.css?ver=201807131 HTTP/1.1" 200 43424
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30594
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/jquery-ui.min.js HTTP/1.1" 200 253668
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/vue.min.js HTTP/1.1" 200 85127
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/jquery.fileDownload.js HTTP/1.1" 200 19689
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/common.js?ver=201807131 HTTP/1.1" 200 25464
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/calendar.js HTTP/1.1" 200 594
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/moment.min.js HTTP/1.1" 200 41783
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/lodash.min.js HTTP/1.1" 200 72772
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 200 29993
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/stomp.min.js HTTP/1.1" 200 8057
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/vue-filter.js?ver=201807131 HTTP/1.1" 200 1469
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /js/sockjs.min.js HTTP/1.1" 200 60644
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/btn_notice.png HTTP/1.1" 200 1386
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/arr_cate.png HTTP/1.1" 200 1033
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/ico_calendar.png HTTP/1.1" 200 1135
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/arr_select.png HTTP/1.1" 200 1136
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/bmt/del_reg_list.png HTTP/1.1" 200 1076
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/btn_my.png HTTP/1.1" 200 1747
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050302_off.png HTTP/1.1" 200 1008
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/app_qa.png HTTP/1.1" 200 2744
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050304_off.png HTTP/1.1" 200 1301
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050301_off.png HTTP/1.1" 200 1020
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050303_off.png HTTP/1.1" 200 1205
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050306_off.png HTTP/1.1" 200 1510
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050305_off.png HTTP/1.1" 200 1175
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050307_off.png HTTP/1.1" 200 1058
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/app_hded.png HTTP/1.1" 200 3961
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/app_setting.png HTTP/1.1" 200 3814
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/app_bmt.png HTTP/1.1" 200 4130
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/qa/ico_snb_00050308_off.png HTTP/1.1" 200 1113
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/app_stat.png HTTP/1.1" 200 2827
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/bg_dim.png HTTP/1.1" 200 923
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/arr_tab_on.png HTTP/1.1" 200 1036
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/common/ico_excel.png HTTP/1.1" 200 1530
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:05:29 +0900] "GET /images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [27/Jul/2018:10:05:30 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:05:30 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:05:49 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:10:05:50 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:10:05:50 +0900] "GET /images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [27/Jul/2018:10:05:50 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:05:50 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:05:50 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:05:51 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:10:05:51 +0900] "GET /images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [27/Jul/2018:10:05:51 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:05:51 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:05:51 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:19 +0900] "GET /images/qa/ico_snb_00050306_on.png HTTP/1.1" 200 1005
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /qa/tc/tcList?pid=QA2018072402 HTTP/1.1" 200 35851
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:27 +0900] "POST /qa/tc/getTcList HTTP/1.1" 200 5024
127.0.0.1 - - [27/Jul/2018:10:16:28 +0900] "GET /qa/perform/performList?pid=QA2018072402 HTTP/1.1" 404 708
127.0.0.1 - - [27/Jul/2018:10:16:29 +0900] "GET /qa/tc/tcList?pid=QA2018072402 HTTP/1.1" 200 35851
127.0.0.1 - - [27/Jul/2018:10:16:29 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:29 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:29 +0900] "POST /qa/tc/getTcList HTTP/1.1" 200 5024
127.0.0.1 - - [27/Jul/2018:10:16:30 +0900] "GET /qa/tc/tcList?pid=QA2018072402 HTTP/1.1" 200 35851
127.0.0.1 - - [27/Jul/2018:10:16:30 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:30 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:30 +0900] "POST /qa/tc/getTcList HTTP/1.1" 200 5024
127.0.0.1 - - [27/Jul/2018:10:16:31 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 30593
127.0.0.1 - - [27/Jul/2018:10:16:32 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:32 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:16:32 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:16:33 +0900] "GET /images/qa/ico_snb_00050308_on.png HTTP/1.1" 200 1093
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /qa/projectMng?pid=QA2018072402 HTTP/1.1" 200 34505
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /images/bmt/ico_prj_complete.png HTTP/1.1" 200 3585
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /images/qa/ico_qa_set_0005030801.png HTTP/1.1" 200 1658
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /images/qa/ico_qa_set_0005030803.png HTTP/1.1" 200 1790
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /images/qa/ico_qa_set_0005030804.png HTTP/1.1" 200 1300
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /images/qa/ico_qa_set_0005030802.png HTTP/1.1" 200 2130
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:16:34 +0900] "GET /qa/project/getProjectView?pid=QA2018072402 HTTP/1.1" 200 3676
127.0.0.1 - - [27/Jul/2018:10:31:57 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:10:31:57 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 31910
127.0.0.1 - - [27/Jul/2018:10:31:57 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
127.0.0.1 - - [27/Jul/2018:10:31:57 +0900] "GET /qa/project/selectQaProjectModelDetailList?pid=QA2018072402 HTTP/1.1" 200 2199
127.0.0.1 - - [27/Jul/2018:10:31:57 +0900] "POST /qa/tc/getlcateIdList HTTP/1.1" 200 3386
127.0.0.1 - - [27/Jul/2018:10:43:10 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:10:43:58 +0900] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [27/Jul/2018:10:44:43 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:10:54:15 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:11:02:42 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:14:06:15 +0900] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [27/Jul/2018:14:06:24 +0900] "GET /js/vue-components.js?ver=201807131 HTTP/1.1" 304 -
127.0.0.1 - - [27/Jul/2018:14:06:24 +0900] "GET /qa/xqms/xqmsList?pid=QA2018072402 HTTP/1.1" 200 31764
127.0.0.1 - - [27/Jul/2018:14:06:24 +0900] "GET /images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [27/Jul/2018:14:06:24 +0900] "GET /bot/message/getNoReadMessageCount HTTP/1.1" 200 20
